,Country,Region,Population,Average Government Expenditure as % of GDP,Average percentage change in GDP per capita USD,start_year,end_year
81,Italy,Europe,27745148.0,9.85,,1865,1870
82,Spain,Europe,16205967.0,16.091699021454342,-0.5974674598285912,1865,1870
83,Sweden,Europe,4168979.0,5.774995526035945,1.955965181771635,1865,1870
84,United Kingdom,Europe,31413071.0,7.329429369038768,1.86011625726608,1865,1870
85,United States,Americas,39902173.0,3.959148127230129,0.7152763146573182,1865,1870
86,Argentina,Americas,1850807.0,8.531223034672518,,1866,1871
87,Belgium,Europe,5134332.0,4.832096295501469,,1866,1871
88,Canada,Americas,3811061.0,5.1154706822191205,,1866,1871
89,Chile,Americas,2027132.0,8.023391034919792,0.9828571428571431,1866,1871
90,France,Europe,38257751.0,13.299427888428415,,1866,1871
91,India,Asia,251636609.0,6.35977273844217,,1866,1871
92,Italy,Europe,27908950.0,9.835560723438615,,1866,1871
93,Spain,Europe,16267583.0,15.785641107354849,-0.2940055683287168,1866,1871
94,Sweden,Europe,4206884.0,5.848354642705535,3.1025507548151987,1866,1871
95,United Kingdom,Europe,31702755.0,7.208808095610569,1.2694918363603014,1866,1871
96,United States,Americas,40810375.0,3.8990911086702926,1.3862483714238438,1866,1871
97,Argentina,Americas,1910088.0,8.502859329459335,,1867,1872
98,Belgium,Europe,5176056.0,4.869650885171668,,1867,1872
99,Canada,Americas,3863995.0,5.278427425063801,,1867,1872
100,Chile,Americas,2060971.0,8.01052069451527,2.9291716686674674,1867,1872
101,France,Europe,38317571.0,13.350057002178248,,1867,1872
102,India,Asia,252064885.0,6.452764077993021,,1867,1872
103,Italy,Europe,28068339.0,9.832507855067256,,1867,1872
104,Spain,Europe,16330962.0,15.392459293194811,3.079113089815251,1867,1872
105,Sweden,Europe,4245832.0,5.925444834016883,3.1811185223191396,1867,1872
106,United Kingdom,Europe,32004200.0,7.093475891710999,1.2721238938053103,1867,1872
107,United States,Americas,41732783.0,3.8175448755898116,1.0119056037304341,1867,1872
108,Argentina,Americas,1971098.0,8.47487158793479,,1868,1873
109,Belgium,Europe,5219281.0,4.9127357910849945,,1868,1873
110,Canada,Americas,3920147.0,5.429046280172384,,1868,1873
111,Chile,Americas,2095139.0,7.982921793103816,3.617269544924153,1868,1873
112,France,Europe,38366403.0,13.391923525364174,,1868,1873
113,India,Asia,252399639.0,6.539075838595317,,1868,1873
114,Italy,Europe,28223256.0,9.84088013892823,,1868,1873
115,Spain,Europe,16396117.0,14.91181495911571,8.537236555326144,1868,1873
116,Sweden,Europe,4285838.0,6.006308101207782,5.749718151071024,1868,1873
117,United Kingdom,Europe,32317597.0,6.983389780874892,0.7310149041873659,1868,1873
118,United States,Americas,42669573.0,3.7144329505967533,1.249333503936394,1868,1873
119,Argentina,Americas,2034058.0,8.447312704426501,,1869,1874
120,Belgium,Europe,5262866.0,4.961259154875655,,1869,1874
121,Canada,Americas,3977115.0,5.567060204391946,,1869,1874
122,Chile,Americas,2129870.0,7.940620345345363,1.1357490535424564,1869,1874
123,France,Europe,38415294.0,13.42496233648645,,1869,1874
124,India,Asia,252734813.0,6.618554324824162,,1869,1874
125,Italy,Europe,28379027.0,9.86064205074564,,1869,1874
126,Spain,Europe,16461531.0,14.344006960530578,5.176554443640464,1869,1874
127,Sweden,Europe,4326221.0,6.090904145949909,4.921135646687698,1869,1874
128,United Kingdom,Europe,32634063.0,6.878595153565374,0.8482697426796815,1869,1874
129,United States,Americas,43627383.0,3.589822003134843,0.0884269325601661,1869,1874
130,Argentina,Americas,2099028.0,8.420174879983493,2.2735042735042743,1870,1875
131,Belgium,Europe,5306815.0,5.015230894689348,1.2537869960382197,1870,1875
132,Canada,Americas,4034909.0,5.692514693479776,1.0510732790525523,1870,1875
133,Chile,Americas,2165173.0,7.883622225425403,1.9486081370449693,1870,1875
134,France,Europe,38464245.0,13.449187904237613,3.6588628762541786,1870,1875
135,India,Asia,253070405.0,6.69122547442062,-0.9349744745746968,1870,1875
136,Italy,Europe,28535657.0,9.89179198063628,-0.7030992435997008,1870,1875
137,Spain,Europe,16527207.0,13.689214750572305,5.174735751980273,1870,1875
138,Sweden,Europe,4366984.0,6.179197783308844,1.3246268656716431,1870,1875
139,United Kingdom,Europe,32953628.0,6.779144648853144,0.41516555155258317,1870,1875
140,United States,Americas,44606685.0,3.443749251932095,1.2580308375918658,1870,1875
141,Argentina,Americas,2166073.0,8.365697234231234,1.7031471230904938,1871,1876
142,Belgium,Europe,5351131.0,5.120431138019936,1.4409356725146205,1871,1876
143,Canada,Americas,4093544.0,5.949667453220499,-1.2942438326778682,1871,1876
144,Chile,Americas,2201059.0,7.821325631709807,1.6557734204793029,1871,1876
145,France,Europe,38513254.0,13.502040834400207,1.3610835811034017,1871,1876
146,India,Asia,253406417.0,6.839950470819343,-1.0068549563023388,1871,1876
147,Italy,Europe,28693149.0,9.948384111758577,-1.060929451606476,1871,1876
148,Spain,Europe,16593144.0,12.964304458840568,4.089315283623534,1871,1876
149,Sweden,Europe,4408132.0,6.269990442259695,1.9107706173952232,1871,1876
150,United Kingdom,Europe,33276322.0,6.685088676719142,0.4864585130239796,1871,1876
151,United States,Americas,45607961.0,3.279822571468948,0.5331947494479028,1871,1876
152,Argentina,Americas,2235260.0,8.312437336637812,2.7056219858459185,1872,1877
153,Belgium,Europe,5395817.0,5.242091684634729,0.4265718729171297,1872,1877
154,Canada,Americas,4153029.0,6.169310003717844,0.25754231052244503,1872,1877
