,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
35,Chile,Americas,1740397.0,7.477411409339609,6.224350205198359,1857,1862
36,Spain,Europe,15752530.0,15.4013165926427,10.6448953323804,1857,1862
37,Sweden,Europe,3891427.0,5.322433432300406,-0.604727872457389,1857,1862
38,United Kingdom,Europe,29366564.0,8.485205000210385,-5.080693365212197,1857,1862
39,United States,Americas,33214384.0,3.6653760317222606,6.990418768683937,1857,1862
40,Chile,Americas,1770288.0,7.596884144908853,5.485789821546594,1858,1863
41,Spain,Europe,15807948.0,15.79272727026077,10.008417830280347,1858,1863
42,Sweden,Europe,3924837.0,5.365923507591302,2.4443237370993964,1858,1863
43,United Kingdom,Europe,29611672.0,8.322242189350243,5.861856937897114,1858,1863
44,United States,Americas,33986941.0,3.777350478448248,13.327167378523841,1858,1863
45,Chile,Americas,1800691.0,7.701661041497136,6.927517639512515,1859,1864
46,Spain,Europe,15863561.0,16.097014047818295,4.407846301267204,1859,1864
47,Sweden,Europe,3958533.0,5.413144657523959,0.6820566631689395,1859,1864
48,United Kingdom,Europe,29858827.0,8.164568448018732,4.452395150069566,1859,1864
49,United States,Americas,34777462.0,3.867835710653589,13.998795969475285,1859,1864
50,Chile,Americas,1831612.0,7.791763072759449,7.682619647355171,1860,1865
51,Spain,Europe,15919369.0,16.31415663890802,-3.407533824660325,1860,1865
52,Sweden,Europe,3992519.0,5.464125250729421,0.6182380216383399,1860,1865
53,United Kingdom,Europe,30108044.0,8.012121474539624,4.856468737711372,1860,1865
54,United States,Americas,35586364.0,3.936833768274188,5.344619231560399,1860,1865
55,Chile,Americas,1863062.0,7.867162557674765,11.111111111111116,1861,1866
56,Spain,Europe,15975374.0,16.444135565491713,2.3347872704168937,1861,1866
57,Sweden,Europe,4026796.0,5.518838621486111,3.002680965147464,1861,1866
58,United Kingdom,Europe,30359341.0,7.864965984587106,8.499203821656053,1861,1866
59,United States,Americas,36414073.0,3.9843328034259344,6.678599837477783,1861,1866
60,Chile,Americas,1895049.0,7.927811674747609,7.2762395363811905,1862,1867
61,Spain,Europe,16031576.0,16.486811947251002,0.7274934892071538,1862,1867
62,Sweden,Europe,4061368.0,5.577263217466354,7.798672566371678,1862,1867
63,United Kingdom,Europe,30612735.0,7.723173942442934,13.85390428211586,1862,1867
64,United States,Americas,37261027.0,4.01029151750901,6.85168643456171,1862,1867
65,Chile,Americas,1927582.0,7.973764952839488,7.393483709273174,1863,1868
66,Spain,Europe,16087976.0,16.442364428949748,-13.16668323660155,1863,1868
67,Sweden,Europe,4096237.0,5.639418888088357,-5.938494167550368,1863,1868
68,United Kingdom,Europe,30868245.0,7.586670969827395,9.119070667957407,1863,1868
69,United States,Americas,38127674.0,4.01476101707144,1.7381858420446816,1863,1868
70,Chile,Americas,1960439.0,8.005016517764918,10.917816436712657,1864,1869
71,Spain,Europe,16146102.0,16.31061355745506,-9.532616474322108,1864,1869
72,Sweden,Europe,4132102.0,5.705340818286538,-0.8858780614903639,1864,1869
73,United Kingdom,Europe,31134963.0,7.455404427669786,7.231208372978126,1864,1869
74,United States,Americas,39007998.0,3.9977040833852104,1.1043933379895066,1864,1869
75,Argentina,Americas,1793208.0,8.56,,1865,1870
76,Belgium,Europe,5094086.0,4.8,,1865,1870
77,Canada,Americas,3761273.0,4.94,,1865,1870
78,Chile,Americas,1993622.0,8.021565536343351,9.239766081871338,1865,1870
79,France,Europe,38186983.0,13.24,,1865,1870
80,India,Asia,251115205.0,6.26,,1865,1870
81,Italy,Europe,27745148.0,9.85,,1865,1870
82,Spain,Europe,16205967.0,16.091699021454342,-2.987337299142956,1865,1870
83,Sweden,Europe,4168979.0,5.774995526035945,9.779825908858175,1865,1870
84,United Kingdom,Europe,31413071.0,7.329429369038768,9.3005812863304,1865,1870
